Region_quota;Region_CH;Prefecture;zip_start
North China;North;Beijing;10
North China;North;Tianjin;30
North China;North;Inner Mongolia;01
North China;North;Inner Mongolia;02
North China;North;Shanxi;03
North China;North;Shanxi;04
North China;North;Hebei;05
North China;North;Hebei;06
North China;North;Hebei;07
Northeast China;Northeast;Liaoning;11
Northeast China;Northeast;Liaoning;12
Northeast China;Northeast;Jilin;13
Northeast China;Northeast;Heilongjiang;15
Northeast China;Northeast;Heilongjiang;16
East China;East;Shanghai;20
East China;East;Jiangsu;21
East China;East;Jiangsu;22
East China;East;Anhui;23
East China;East;Anhui;24
East China;East;Shandong;25
East China;East;Shandong;26
East China;East;Shandong;27
East China;East;Zhejiang;31
East China;East;Zhejiang;32
East China;East;Jiangxi;33
East China;East;Jiangxi;34
East China;East;Fujian;35
East China;East;Fujian;36
East China;East;Taiwan;999079
South Central China;South Central;Hunan;41
South Central China;South Central;Hunan;42
South Central China;South Central;Hubei;43
South Central China;South Central;Hubei;44
South Central China;South Central;Henan;45
South Central China;South Central;Henan;46
South Central China;South Central;Henan;47
South Central China;South Central;Guangdong;51
South Central China;South Central;Guangdong;52
South Central China;South Central;Guangxi;53
South Central China;South Central;Guangxi;54
South Central China;South Central;Hainan;57
South Central China;South Central;Hong Kong;999077
South Central China;South Central;Macau;999078
West China;Southwest;Chongqing;40
West China;Southwest;Guizhou;55
West China;Southwest;Guizhou;56
West China;Southwest;Sichuan;61
West China;Southwest;Sichuan;62
West China;Southwest;Sichuan;63
West China;Southwest;Sichuan;64
West China;Southwest;Yunnan;65
West China;Southwest;Yunnan;66
West China;Southwest;Yunnan;67
West China;Southwest;Tibet;85
West China;Southwest;Tibet;86
West China;Northwest;Shaanxi;71
West China;Northwest;Shaanxi;72
West China;Northwest;Gansu;73
West China;Northwest;Gansu;74
West China;Northwest;Ningxia;75
West China;Northwest;Qinghai;81
West China;Northwest;Xinjiang;83
West China;Northwest;Xinjiang;84