Region_quota;Region_CH;Prefecture;zip_start
North;North;Beijing;10
North;North;Tianjin;30
North;North;Inner Mongolia;01
North;North;Inner Mongolia;02
North;North;Shanxi;03
North;North;Shanxi;04
North;North;Hebei;05
North;North;Hebei;06
North;North;Hebei;07
Northeast;Northeast;Liaoning;11
Northeast;Northeast;Liaoning;12
Northeast;Northeast;Jilin;13
Northeast;Northeast;Heilongjiang;15
Northeast;Northeast;Heilongjiang;16
East;East;Shanghai;20
East;East;Jiangsu;21
East;East;Jiangsu;22
East;East;Anhui;23
East;East;Anhui;24
East;East;Shandong;25
East;East;Shandong;26
East;East;Shandong;27
East;East;Zhejiang;31
East;East;Zhejiang;32
East;East;Jiangxi;33
East;East;Jiangxi;34
East;East;Fujian;35
East;East;Fujian;36
East;East;Taiwan;999079
South Central;South Central;Hunan;41
South Central;South Central;Hunan;42
South Central;South Central;Hubei;43
South Central;South Central;Hubei;44
South Central;South Central;Henan;45
South Central;South Central;Henan;46
South Central;South Central;Henan;47
South Central;South Central;Guangdong;51
South Central;South Central;Guangdong;52
South Central;South Central;Guangxi;53
South Central;South Central;Guangxi;54
South Central;South Central;Hainan;57
South Central;South Central;Hong Kong;999077
South Central;South Central;Macau;999078
West;Southwest;Chongqing;40
West;Southwest;Guizhou;55
West;Southwest;Guizhou;56
West;Southwest;Sichuan;61
West;Southwest;Sichuan;62
West;Southwest;Sichuan;63
West;Southwest;Sichuan;64
West;Southwest;Yunnan;65
West;Southwest;Yunnan;66
West;Southwest;Yunnan;67
West;Southwest;Tibet;85
West;Southwest;Tibet;86
West;Northwest;Shaanxi;71
West;Northwest;Shaanxi;72
West;Northwest;Gansu;73
West;Northwest;Gansu;74
West;Northwest;Ningxia;75
West;Northwest;Qinghai;81
West;Northwest;Xinjiang;83
West;Northwest;Xinjiang;84