Indicateur;Region
1;Center
2;Center
3;Center
4;Center
5;Center
6;Center
7;Center
8;Center
9;Center
10;Center
11;Center
12;Center
13;Center
14;Center
15;Center
16;Center
17;Center
18;Center
19;Center
20;Center
21;Center
22;Center
23;Center
24;Center
25;Center
26;Center
27;Center
28;Center
29;West
30;West
31;West
32;West
33;West
34;West
35;West
36;Center
37;Center
38;Center
39;Center
40;Center
41;Center
42;Center
43;West
44;West
45;West
46;West
47;West
48;West
49;South
50;South
51;South
52;South
53;South
54;South
55;South
56;South
57;South
58;West
59;West
60;West
61;East
62;East
63;East
64;East
65;South
66;South
67;South
68;South
69;South
70;South
71;South
72;South
73;South
74;South
75;South
76;West
77;West
78;West
79;West
80;West
81;West
82;West
83;West
84;East
85;East
86;East
87;East
88;West
89;West
90;West
91;East
92;East
93;East
94;East